Date,Open,High,Low,Close,Adj Close,Volume
2018-06-01,76779.000000,78169.000000,75524.000000,77240.000000,77240.000000,6044400
2018-06-04,77244.000000,78637.000000,77244.000000,78596.000000,78596.000000,4023100
2018-06-05,78595.000000,78892.000000,76412.000000,76642.000000,76642.000000,4499800
2018-06-06,76641.000000,76967.000000,75518.000000,76117.000000,76117.000000,4871700
2018-06-07,76117.000000,76117.000000,71162.000000,73851.000000,73851.000000,7919200
2018-06-08,73848.000000,74031.000000,71679.000000,72942.000000,72942.000000,5952400
2018-06-11,72943.000000,73716.000000,71843.000000,72308.000000,72308.000000,3564300
2018-06-12,72308.000000,73322.000000,72124.000000,72754.000000,72754.000000,3889600
2018-06-13,72757.000000,72977.000000,71035.000000,72122.000000,72122.000000,4360200
2018-06-14,72151.000000,72708.000000,71344.000000,71421.000000,71421.000000,4281600
2018-06-15,71421.000000,71421.000000,69583.000000,70758.000000,70758.000000,6456800
2018-06-18,70757.000000,70757.000000,69360.000000,69815.000000,69815.000000,3475200
2018-06-19,69811.000000,72010.000000,69069.000000,71394.000000,71394.000000,5185300
2018-06-20,71397.000000,72617.000000,71155.000000,72123.000000,72123.000000,4414600
2018-06-21,72117.000000,72207.000000,70019.000000,70075.000000,70075.000000,3490800
2018-06-22,70077.000000,71058.000000,69907.000000,70641.000000,70641.000000,3054700
2018-06-25,70642.000000,71323.000000,69779.000000,70953.000000,70953.000000,3346300
2018-06-26,70968.000000,71622.000000,70203.000000,71405.000000,71405.000000,3502300
2018-06-27,71405.000000,72032.000000,70134.000000,70609.000000,70609.000000,3588900
2018-06-28,70609.000000,72092.000000,70439.000000,71767.000000,71767.000000,3511400
2018-06-29,71779.000000,73020.000000,71779.000000,72763.000000,72763.000000,3879400
