Data,%,Ocupadas
21-09-2013,78.13,50
22-09-2013,20.31,13
23-09-2013,76.56,49
24-09-2013,93.75,60
25-09-2013,89.06,57
26-09-2013,64.06,41
27-09-2013,28.13,18
28-09-2013,32.81,21
29-09-2013,9.38,6
30-09-2013,29.69,19
01-10-2013,53.13,34
02-10-2013,82.81,53
03-10-2013,70.31,45
04-10-2013,34.38,22
05-10-2013,28.13,18
06-10-2013,7.81,5
07-10-2013,65.63,42
08-10-2013,89.06,57
09-10-2013,68.75,44
10-10-2013,68.75,44
11-10-2013,54.69,35
12-10-2013,50.00,32
13-10-2013,10.94,7
14-10-2013,56.25,36
15-10-2013,68.75,44
16-10-2013,96.88,62
17-10-2013,54.69,35
18-10-2013,26.56,17
19-10-2013,25.00,16
20-10-2013,7.81,5
21-10-2013,51.56,33
22-10-2013,90.63,58
23-10-2013,73.44,47
24-10-2013,64.06,41
25-10-2013,35.94,23
26-10-2013,34.38,22
27-10-2013,17.19,11
28-10-2013,46.88,30
29-10-2013,59.38,38
30-10-2013,73.44,47
31-10-2013,60.94,39
01-11-2013,40.63,26
02-11-2013,81.25,52
03-11-2013,15.63,10
04-11-2013,67.19,43
05-11-2013,82.81,53
06-11-2013,84.38,54
07-11-2013,53.13,34
08-11-2013,28.13,18
09-11-2013,56.25,36
10-11-2013,34.38,22
11-11-2013,81.25,52
12-11-2013,70.31,45
13-11-2013,68.75,44
14-11-2013,40.63,26
15-11-2013,62.50,40
16-11-2013,71.88,46
17-11-2013,15.63,10
18-11-2013,54.69,35
19-11-2013,84.38,54
20-11-2013,96.88,62
21-11-2013,96.88,62
22-11-2013,50.00,32
23-11-2013,37.50,24
24-11-2013,67.19,43
25-11-2013,70.31,45
26-11-2013,89.06,57
27-11-2013,76.56,49
28-11-2013,62.50,40
29-11-2013,40.63,26
30-11-2013,78.13,50
01-12-2013,17.19,11
02-12-2013,42.19,27
03-12-2013,57.81,37
04-12-2013,75.00,48
05-12-2013,56.25,36
06-12-2013,6.25,4
07-12-2013,46.88,30
08-12-2013,31.25,20
09-12-2013,62.50,40
10-12-2013,70.31,45
11-12-2013,73.44,47
12-12-2013,71.88,46
13-12-2013,50.00,32
14-12-2013,42.19,27
15-12-2013,28.13,18
16-12-2013,51.56,33
17-12-2013,71.88,46
18-12-2013,60.94,39
19-12-2013,64.06,41
20-12-2013,73.44,47
21-12-2013,70.31,45
22-12-2013,45.31,29
23-12-2013,34.38,22
24-12-2013,42.19,27
25-12-2013,35.94,23
26-12-2013,53.13,34
27-12-2013,28.13,18
28-12-2013,26.56,17
29-12-2013,23.44,15
30-12-2013,14.06,9
31-12-2013,17.19,11
01-01-2014,20.31,13
02-01-2014,28.13,18
03-01-2014,39.06,25
04-01-2014,39.06,25
05-01-2014,15.63,10
06-01-2014,35.94,23
07-01-2014,51.56,33
08-01-2014,51.56,33
09-01-2014,43.75,28
10-01-2014,25.00,16
11-01-2014,50.00,32
12-01-2014,34.38,22
13-01-2014,60.94,39
14-01-2014,43.75,28
15-01-2014,73.44,47
16-01-2014,56.25,36
17-01-2014,23.44,15
18-01-2014,43.75,28
19-01-2014,20.31,13
20-01-2014,54.69,35
21-01-2014,60.94,39
22-01-2014,79.69,51
23-01-2014,78.13,50
24-01-2014,43.75,28
25-01-2014,57.81,37
26-01-2014,20.31,13
27-01-2014,56.25,36
28-01-2014,62.50,40
29-01-2014,76.56,49
30-01-2014,64.06,41
31-01-2014,62.50,40
01-02-2014,51.56,33
02-02-2014,23.44,15
03-02-2014,56.25,36
04-02-2014,79.69,51
05-02-2014,82.81,53
06-02-2014,67.19,43
07-02-2014,45.31,29
08-02-2014,57.81,37
09-02-2014,18.75,12
10-02-2014,48.44,31
11-02-2014,59.38,38
12-02-2014,81.25,52
13-02-2014,62.50,40
14-02-2014,40.63,26
15-02-2014,51.56,33
16-02-2014,14.06,9
17-02-2014,62.50,40
18-02-2014,96.88,62
19-02-2014,87.50,56
20-02-2014,84.38,54
21-02-2014,32.81,21
22-02-2014,51.56,33
23-02-2014,17.19,11
24-02-2014,64.06,41
25-02-2014,68.75,44
26-02-2014,89.06,57
27-02-2014,79.69,51
28-02-2014,89.06,57
01-03-2014,92.19,59
02-03-2014,18.75,12
03-03-2014,21.88,14
04-03-2014,17.19,11
05-03-2014,53.13,34
06-03-2014,32.81,21
07-03-2014,40.63,26
08-03-2014,39.06,25
09-03-2014,14.06,9
10-03-2014,57.81,37
11-03-2014,84.38,54
12-03-2014,92.19,59
13-03-2014,79.69,51
14-03-2014,7.81,5
15-03-2014,67.19,43
16-03-2014,18.75,12
17-03-2014,68.75,44
18-03-2014,79.69,51
19-03-2014,96.88,62
20-03-2014,93.75,60
21-03-2014,35.94,23
22-03-2014,34.38,22
23-03-2014,9.38,6
24-03-2014,35.94,23
25-03-2014,43.75,28
26-03-2014,64.06,41
27-03-2014,65.63,42
28-03-2014,26.56,17
29-03-2014,50.00,32
30-03-2014,35.94,23
31-03-2014,51.56,33
01-04-2014,71.88,46
02-04-2014,68.75,44
03-04-2014,73.44,47
04-04-2014,32.81,21
05-04-2014,29.69,19
06-04-2014,7.81,5
07-04-2014,64.06,41
08-04-2014,100.00,64
09-04-2014,81.25,52
10-04-2014,64.06,41
11-04-2014,34.38,22
12-04-2014,48.44,31
13-04-2014,12.50,8
14-04-2014,46.88,30
15-04-2014,73.44,47
16-04-2014,62.50,40
17-04-2014,39.06,25
18-04-2014,64.06,41
19-04-2014,68.75,44
20-04-2014,42.19,27
21-04-2014,14.06,9
22-04-2014,64.06,41
23-04-2014,78.13,50
