NavieBayes,J48,IBK-1,IBK-3,Jrip,Multilayer,LibSVM
3,7,4,2,4,1,4
2,7,4,1,4,2,6
3,6,4,1,6,1,5
3,5,4,1,6,1,7
3,4,4,1,4,1,4
3,7,4,1,5,1,6
3,6,4,1,7,1,5
2,7,4,2,6,1,5
3,7,6,1,4,2,4
3,7,4,1,5,1,5
2,7,2,2,5,1,5
3,5,4,1,5,2,5
4,7,3,1,5,1,6
3,7,5,1,4,1,6
3,7,5,1,4,2,5
3,7,4,1,4,1,6
2,7,3,1,3,3,6
3,6,4,1,6,1,5
3,4,4,1,7,1,4
2,7,4,1,6,2,4
4,4,3,1,6,1,6
3,7,4,1,4,1,4
2,7,3,1,5,3,5
3,7,5,1,4,1,5
3,7,3,1,5,1,6
2,7,5,2,4,1,5
3,5,5,2,3,1,7
3,6,6,1,5,1,4
3,7,4,1,5,2,6
2,4,5,2,5,1,5
